a_cov_blpr,a_cov_hdi,a_cov_dlasso,a_cov_silm,a_cov_rr,sc_a_cov_rr,a_len_blpr,a_len_hdi,a_len_dlasso,a_len_silm,a_len_rr,sc_a_len_rr,n_cov_blpr,n_cov_hdi,n_cov_dlasso,n_cov_silm,n_cov_rr,sc_n_cov_rr,n_len_blpr,n_len_hdi,n_len_dlasso,n_len_silm,n_len_rr,sc_n_len_rr,s,x,b,e,g,n_draws,n_solve
0.96,0.953333333,0.933333333,0.833333333,0.886666667,0.893333333,0.556144744,0.420079752,0.609800119,0.68443385,0.422426861,0.440300282,0.953333333,0.968,0.988,0.829333333,0.958666667,0.965333333,0.094951843,0.389370936,0.60497533,0.678027347,0.422354489,0.44023642,3,G1,D1,G1,perm,1000,500
0.926666667,0.926666667,0.9,0.96,0.906666667,0.92,0.791519,0.598538718,0.572288564,0.690049343,0.607845704,0.635194586,0.944,0.950666667,0.974666667,0.958666667,0.945333333,0.956,0.136894578,0.56202195,0.566779921,0.683920666,0.605215748,0.632450271,3,G1,D1,HG,perm,1000,500
0.913333333,0.933333333,0.9,0.966666667,0.913333333,0.92,0.760860386,0.695302485,0.572288564,0.685084565,0.629992379,0.65852406,0.934666667,0.958666667,0.974666667,0.958666667,0.946666667,0.954666667,0.136086798,0.559591751,0.566779921,0.683744594,0.597959236,0.624867727,3,G1,D1,HG,sign,1000,500
0.633333333,0.953333333,0.873333333,0.946666667,0.906666667,0.913333333,1.001915742,1.113148126,1.025333591,1.208996276,1.079981394,1.121230063,0.957333333,0.966666667,0.990666667,0.970666667,0.964,0.969333333,0.242606985,1.101877969,1.017087552,1.202680586,1.073946762,1.115237472,3,G1,D1,HMG,perm,1000,500
0.646666667,0.94,0.873333333,0.96,0.9,0.926666667,0.980805833,1.301142793,1.025333591,1.204072093,1.129347948,1.172611662,0.948,0.966666667,0.990666667,0.965333333,0.949333333,0.958666667,0.242218746,1.090526087,1.017087552,1.201097415,1.066933647,1.107886577,3,G1,D1,HMG,sign,1000,500
0.946666667,0.926666667,0.906666667,0.96,0.906666667,0.906666667,0.560900715,0.418540095,0.406243128,0.490129713,0.43107711,0.449674399,0.937333333,0.952,0.973333333,0.96,0.942666667,0.956,0.097134286,0.380850582,0.402351237,0.485669944,0.429440674,0.44795971,3,G1,D1,N1,perm,1000,500
0.933333333,0.92,0.906666667,0.96,0.92,0.926666667,0.516252414,0.471424886,0.406243128,0.486612353,0.449064735,0.468568032,0.945333333,0.957333333,0.973333333,0.96,0.942666667,0.957333333,0.096076659,0.369033419,0.402351237,0.485539305,0.426420967,0.444822994,3,G1,D1,N1,sign,1000,500
0.733333333,0.953333333,0.86,0.953333333,0.893333333,0.913333333,1.039463397,1.0172956,0.926948467,1.108509988,0.984645514,1.024046191,0.953333333,0.969333333,0.988,0.972,0.964,0.968,0.223267294,1.000029903,0.920865516,1.102498197,0.981244104,1.020608283,3,G1,D1,N2,perm,1000,500
0.753333333,0.933333333,0.86,0.953333333,0.92,0.926666667,0.992369419,1.18822377,0.926948467,1.103980651,1.036780884,1.078391674,0.945333333,0.968,0.988,0.976,0.954666667,0.96,0.223334595,0.993108538,0.920865516,1.101067792,0.977342182,1.016457409,3,G1,D1,N2,sign,1000,500
0.973333333,0.96,0.966666667,0.82,0.926666667,0.94,0.612567154,0.414885996,0.572237133,0.664660904,0.411450853,0.428206956,0.944,0.962666667,0.990666667,0.812,0.945333333,0.956,0.095187148,0.385260991,0.573146871,0.66594017,0.414976107,0.431913703,3,N1,D1,G1,perm,1000,500
