a_cov_blpr,a_cov_hdi,a_cov_dlasso,a_cov_silm,a_cov_rr,sc_a_cov_rr,a_len_blpr,a_len_hdi,a_len_dlasso,a_len_silm,a_len_rr,sc_a_len_rr,n_cov_blpr,n_cov_hdi,n_cov_dlasso,n_cov_silm,n_cov_rr,sc_n_cov_rr,n_len_blpr,n_len_hdi,n_len_dlasso,n_len_silm,n_len_rr,sc_n_len_rr,s,x,b,e,g,n_draws,n_solve
0.866666667,0.946666667,0.953333333,0.806666667,0.893333333,0.913333333,0.664855808,0.676649035,0.89451173,1.050068884,0.691714065,0.752624077,0.928,0.956,0.982666667,0.874666667,0.936,0.957333333,0.181100176,0.603317521,0.895284492,1.047043765,0.702681942,0.764643931,3,G1,D1,G1,perm,1000,500
0.74,0.953333333,0.813333333,0.946666667,0.893333333,0.926666667,0.834090185,1.115413061,0.838722802,1.027211645,1.659579846,1.064051813,0.898666667,0.956,0.973333333,0.964,0.944,0.961333333,0.256993582,0.912019175,0.840095591,1.025401313,1.682636171,1.036929927,3,G1,D1,HG,sign,1000,500
0.42,0.906666667,0.833333333,0.92,0.906666667,0.913333333,0.985493834,1.839138451,1.487765451,1.70275498,1.535012861,1.857462221,0.897333333,0.950666667,0.965333333,0.957333333,0.94,0.953333333,0.449419942,1.570322843,1.485894322,1.70129099,1.554041521,1.790396811,3,G1,D1,HMG,sign,1000,500
0.873333333,0.94,0.846666667,0.953333333,0.88,0.92,0.660701687,0.640954674,0.610630887,0.745751026,0.974142206,0.75685356,0.921333333,0.946666667,0.977333333,0.965333333,0.94,0.958666667,0.181234343,0.564554661,0.610615081,0.740666728,0.94936056,0.766567952,3,G1,D1,N1,perm,1000,500
0.873333333,0.96,0.846666667,0.953333333,0.913333333,0.92,0.703212991,0.746758498,0.610630887,0.743888543,1.720470344,0.77348106,0.933333333,0.944,0.977333333,0.961333333,0.942666667,0.957333333,0.180599372,0.568290843,0.610615081,0.741743123,1.660404495,0.752138661,3,G1,D1,N1,sign,1000,500
0.473333333,0.92,0.846666667,0.92,0.866666667,0.913333333,0.979338064,1.478465971,1.338135893,1.578979676,0.715128505,1.652261351,0.912,0.954666667,0.96,0.952,0.945333333,0.966666667,0.413981559,1.458006733,1.342656225,1.576845939,0.695236244,1.672884978,3,G1,D1,N2,perm,1000,500
0.446666667,0.906666667,0.846666667,0.926666667,0.9,0.92,0.955898754,1.722804455,1.338135893,1.581157375,1.613341683,1.731130413,0.908,0.956,0.96,0.949333333,0.941333333,0.956,0.40492058,1.455495773,1.342656225,1.579201275,1.548979937,1.663283481,3,G1,D1,N2,sign,1000,500
0.873333333,0.94,0.92,0.866666667,0.826666667,0.866666667,0.682080151,0.640643364,0.829159227,0.987726523,0.669563368,0.723735181,0.928,0.96,0.989333333,0.892,0.932,0.958666667,0.172938454,0.562330971,0.833593787,0.996018756,0.680802387,0.735832506,3,N1,D1,G1,perm,1000,500
0.766666667,0.893333333,0.84,0.966666667,0.906666667,0.92,0.813216955,0.890654772,0.807758288,0.968298215,1.5940648,1.013017359,0.889333333,0.952,0.968,0.954666667,0.944,0.954666667,0.237418383,0.783236271,0.81555385,0.979075407,1.6162091,1.019689261,3,N1,D1,HG,sign,1000,500
0.406666667,0.913333333,0.866666667,0.94,0.893333333,0.913333333,0.919668708,1.595315258,1.500324763,1.634578696,1.469452797,1.717292628,0.901333333,0.952,0.973333333,0.966666667,0.948,0.969333333,0.418410646,1.499842459,1.523808963,1.654393227,1.489102318,1.749771632,3,N1,D1,HMG,sign,1000,500
